file_name,text,image_loc,damaged_infrastructure,damaged_nature,fires,flood,human_damage,non_damage
yemencrisis_2015-11-27_01-40-28.txt,this is yemen child buried under rubble as 90 of saudi airstrikes attack homes  not military targets saudicrimes yemenunderattack yemencrisis yemenchildern un un hrc30  إعادةالأمل جرائمالعدوانالسعودي اليمن  httpstcoqp6lnkph2j,../data/img_data/train/human_damage/yemencrisis_2015-11-27_01-40-28.jpg,0,0,0,0,1,0
isiscrimes_2015-08-03_11-18-40.txt,17 children were killed this month alone by assad regime mainly by air strikes and by dropping explosive barrels the syrian regime genocide against syrian kids continues and the humanity and international community continues watching silently the atrocities of assad army syrians syria syrie assadcrimes isiscrimes wakeupworld shameonhumanity shameonthisworld pain refugee red redcolorissyriacolor pain poor child children childinsyria childrenofsyria,../data/img_data/train/human_damage/isiscrimes_2015-08-03_11-18-40.jpg,0,0,0,0,1,0
terrorattack_2017-10-02_13-13-23.txt,lasvegas shooting two dead 24 wounded by gunfire says hospital terrorattack,../data/img_data/train/human_damage/terrorattack_2017-10-02_13-13-23.jpg,0,0,0,0,1,0
victimsofwar_2016-12-17_02-12-27.txt,victimsofwar reflection emotionalintelligence,../data/img_data/train/human_damage/victimsofwar_2016-12-17_02-12-27.jpg,0,0,0,0,1,0
isiscrimes_2015-08-01_10-57-48.txt,every day syrian children are being injured or killed by assad regime or isis daesh  humanity and the international community keeps watching silently with no serious action to stop the children massacre just imagine this injured son is your son just imagineassadcrimes shameonhumanity enfantsdelasyrie syria syrie syrians syrianrefugee assadcrimes isiscrimes injured ihateisis isiscrimes injuredchildren injured wakeupworldshameonhumanity shameonthisworld whereisununtilwhenstopassadcrimesenoughwithassadcrimesredredcolorissyriacolorsyrianmassacre,../data/img_data/train/human_damage/isiscrimes_2015-08-01_10-57-48.jpg,0,0,0,0,1,0
isiscrimes_2015-08-13_05-42-23.txt,syria today the red color is the dominant color in syria now daysassadcrimes sufferingofsyrians suffering pain children childrenofsyria isiscrimes syrie syria,../data/img_data/train/human_damage/isiscrimes_2015-08-13_05-42-23.jpg,0,0,0,0,1,0
isiscrimes_2015-08-05_19-58-42.txt,red is the true friend of syrian red the color of blood assad regime are committing genocide everyday against syriansassadcrimes isiscrimes syria syrie syrians syrianorphans syrianrefugees shameonhumanity shameonthisworld,../data/img_data/train/human_damage/isiscrimes_2015-08-05_19-58-42.jpg,0,0,0,0,1,0
isiscrimes_2015-12-10_17-27-35.txt,russian regime headed by vladimir putin are targeting syrian childreni fail to understand the brutality of russian army why they are doing this to innocent syrian childrenputinisamurderer putincrimes putinholocaust putincrimesinsyria assadcrimes syria syrie kidskdinjuredsyrianchildren injuredsyrianchildren assadwarcrimes isiscrimesshameonhumanity shameonthisworld,../data/img_data/train/human_damage/isiscrimes_2015-12-10_17-27-35.jpg,0,0,0,0,1,0
isiscrimes_2015-08-02_17-07-03.txt,dont take my pictureim living a miserable life in the refugee camp why you want to take the picturejust to show off and tell your friends that you have been to the refugees camps and you helpedthe world doesnt care about us at all nor humanity and international community cares too so please dont take this picture assadcrimes isiscrimes children child childinsyria childrenofsyria syria syrie syrians syrianrefugee syriangenocide genocide why,../data/img_data/train/human_damage/isiscrimes_2015-08-02_17-07-03.jpg,0,0,0,0,1,0
isiscrimes_2015-08-23_06-53-41.txt,this is a real picture not a photoshopthe syrian people are sufferingthe syrian regime is committing a genocide against syrians and international communitysociety are keeping  silentassadcrimes unitednations isiscrimes un syria syrie syrians syrianorphans syriangenocide genocide shameonhumanity shameonthisworld painpoor poorsyrians,../data/img_data/train/human_damage/isiscrimes_2015-08-23_06-53-41.jpg,0,0,0,0,1,0
isiscrimes_2015-08-27_00-11-43.txt,syrian children are the primary target of syrian regime bombardmentuntil when the world will continues watching silently and doing nothing to save these innocent childrenassadcrimes anger isiscrimes syria syrie syrians syrianorphans syriangenocide genocide syrianregimegenocide syrianrefugees syrianrevolution children childrenofsyria postcard postcardfromsyria,../data/img_data/train/human_damage/isiscrimes_2015-08-27_00-11-43.jpg,0,0,0,0,1,0
yemencrisis_2017-07-31_06-24-52.txt,regrann from hanifahandini   saudi war crimes  stoparmingsaudi stopignoringyemen yemenwar yemencrisis yemenchildren handsoffyemen stravation famine cholera alsaud kingdomeofterror muslim indonesia us uk un hrw unicef,../data/img_data/train/human_damage/yemencrisis_2017-07-31_06-24-52.jpg,0,0,0,0,1,0
terrorattack_2017-10-02_18-29-18.txt,reposting infiafact with instarepostapp  sejauh ini korban teror penembakan brutal di mandalay bay las vegas nevada as bertambah jadi 50 orang selain itu lebih dari 200 orang menderita lukaluka  pihak kepolisian las vegas mengatakan seorang pria bernama stephen paddock 64 yang diduga kuat sebagai pelaku telah  tewas ditembak  sementara seorang wanita bernama marilou danley 62 yang merupakan pasangan pelaku sedang diburu oleh pihak kepolisian  jika kamu punya informasi berupa foto atau video menarik langsung saja dm atau mention ke kami yak makasih😊🤗  video twitter  infia infiafact worldnews beritadunia infodunia penembakan shooting massshooting terror terrorattack mariloudanley stephenpaddock mandalaybay lasvegas nevada usa,../data/img_data/train/human_damage/terrorattack_2017-10-02_18-29-18.jpg,0,0,0,0,1,0
isiscrimes_2015-11-20_14-34-12.txt,just imagine please just imagine that you are syrian  for a couple of minutes can you imagine the pain sadness suffering that you will go through i doubt you can endure these two minutes syria syrie syrian syrianrefugees helppainassadcrimes isiscrimes putincrimes shameonrussiangovernment shameonthisworld shameonhumanity untilwhen whysad sadness,../data/img_data/train/human_damage/isiscrimes_2015-11-20_14-34-12.jpg,0,0,0,0,1,0
isiscrimes_2015-08-22_02-31-53.txt,the syrian regime bombardment does not stop everyday the death toll is increasingtoday aleppo city was the victim casualties are civilianswhereishumanity syrianregimegenocide assadcrimes genocide injuredsyrianchild injuredsyrianchildren injured un unitednations pain poor poorsyrians isiscrimes,../data/img_data/train/human_damage/isiscrimes_2015-08-22_02-31-53.jpg,0,0,0,0,1,0
